trip_id,organization_name,is_operator
205330000133226841,Keolis Sverige AB,1
205330000133226923,Keolis Sverige AB,1
205330000133227286,Keolis Sverige AB,1
205330000133227326,Keolis Sverige AB,1
205330000133227486,Keolis Sverige AB,1
205330000133227526,Keolis Sverige AB,1
205330000133227566,Keolis Sverige AB,1
205330000133227726,Keolis Sverige AB,1
205330000133228160,Keolis Sverige AB,1
205330000133228242,Keolis Sverige AB,1
205330000133228365,Keolis Sverige AB,1
205330000133228488,Keolis Sverige AB,1
205330000133228734,Keolis Sverige AB,1
205330000133227126,Keolis Sverige AB,1
205330000133227366,Keolis Sverige AB,1
205330000133227446,Keolis Sverige AB,1
205330000133227686,Keolis Sverige AB,1
205330000133228078,Keolis Sverige AB,1
205330000133228119,Keolis Sverige AB,1
205330000133228447,Keolis Sverige AB,1
205330000133228570,Keolis Sverige AB,1
205330000133228816,Keolis Sverige AB,1
205330000133229063,Keolis Sverige AB,1
205330000133229104,Keolis Sverige AB,1
205330000133229186,Keolis Sverige AB,1
205330000133229350,Keolis Sverige AB,1
205330000133226964,Keolis Sverige AB,1
205330000133227006,Keolis Sverige AB,1
205330000133227046,Keolis Sverige AB,1
205330000133227166,Keolis Sverige AB,1
205330000133227206,Keolis Sverige AB,1
205330000133227246,Keolis Sverige AB,1
205330000133227606,Keolis Sverige AB,1
205330000133227646,Keolis Sverige AB,1
205330000133228611,Keolis Sverige AB,1
205330000133228693,Keolis Sverige AB,1
205330000133228857,Keolis Sverige AB,1
205330000133228898,Keolis Sverige AB,1
205330000133228939,Keolis Sverige AB,1
205330000133226800,Keolis Sverige AB,1
205330000133226882,Keolis Sverige AB,1
205330000133227086,Keolis Sverige AB,1
205330000133227406,Keolis Sverige AB,1
205330000133227846,Keolis Sverige AB,1
205330000133227996,Keolis Sverige AB,1
205330000133228201,Keolis Sverige AB,1
205330000133228283,Keolis Sverige AB,1
205330000133228406,Keolis Sverige AB,1
205330000133228529,Keolis Sverige AB,1
205330000133228652,Keolis Sverige AB,1
205330000133228775,Keolis Sverige AB,1
205330000133228980,Keolis Sverige AB,1
205330000133229022,Keolis Sverige AB,1
205330000133229145,Keolis Sverige AB,1
205330000133229309,Keolis Sverige AB,1
205330000133229435,Keolis Sverige AB,1
205330000133438017,Keolis Sverige AB,1
205330000133438113,Keolis Sverige AB,1
205330000133438177,Keolis Sverige AB,1
205330000133438465,Keolis Sverige AB,1
205330000133438561,Keolis Sverige AB,1
205330000133438892,Keolis Sverige AB,1
205330000133439107,Keolis Sverige AB,1
205330000133439272,Keolis Sverige AB,1
205330000133229227,Keolis Sverige AB,1
205330000133229268,Keolis Sverige AB,1
205330000133437793,Keolis Sverige AB,1
205330000133437889,Keolis Sverige AB,1
205330000133437953,Keolis Sverige AB,1
205330000133438049,Keolis Sverige AB,1
205330000133438433,Keolis Sverige AB,1
205330000133438625,Keolis Sverige AB,1
205330000133438690,Keolis Sverige AB,1
205330000133438723,Keolis Sverige AB,1
205330000133438859,Keolis Sverige AB,1
205330000133438925,Keolis Sverige AB,1
205330000133439042,Keolis Sverige AB,1
205330000133439173,Keolis Sverige AB,1
205330000133439239,Keolis Sverige AB,1
205330000133439305,Keolis Sverige AB,1
205330000133439437,Keolis Sverige AB,1
205330000133437921,Keolis Sverige AB,1
205330000133437985,Keolis Sverige AB,1
205330000133438081,Keolis Sverige AB,1
205330000133438241,Keolis Sverige AB,1
205330000133438305,Keolis Sverige AB,1
205330000133438337,Keolis Sverige AB,1
205330000133438593,Keolis Sverige AB,1
205330000133438657,Keolis Sverige AB,1
205330000133439010,Keolis Sverige AB,1
205330000133439074,Keolis Sverige AB,1
205330000133439140,Keolis Sverige AB,1
205330000133439206,Keolis Sverige AB,1
205330000133439338,Keolis Sverige AB,1
205330000133439371,Keolis Sverige AB,1
205330000133439404,Keolis Sverige AB,1
205330000133437825,Keolis Sverige AB,1
205330000133437857,Keolis Sverige AB,1
205330000133438145,Keolis Sverige AB,1
205330000133438209,Keolis Sverige AB,1
205330000133438273,Keolis Sverige AB,1
205330000133438369,Keolis Sverige AB,1
205330000133438401,Keolis Sverige AB,1
205330000133438497,Keolis Sverige AB,1
205330000133438529,Keolis Sverige AB,1
205330000133438756,Keolis Sverige AB,1
205330000136074745,Keolis Sverige AB,1
205330000136074832,Keolis Sverige AB,1
205330000136074611,Keolis Sverige AB,1
205330000136074649,Keolis Sverige AB,1
205330000136074693,Keolis Sverige AB,1
205330000136074866,Keolis Sverige AB,1
205330000136074783,Keolis Sverige AB,1
205330100133227046,Keolis Sverige AB,1
205330100133227846,Keolis Sverige AB,1
205330100133438049,Keolis Sverige AB,1
205330100133438433,Keolis Sverige AB,1
205330100133438561,Keolis Sverige AB,1
205330100133438723,Keolis Sverige AB,1
205330100133227166,Keolis Sverige AB,1
205330100133227326,Keolis Sverige AB,1
205330100133227486,Keolis Sverige AB,1
205330100133227646,Keolis Sverige AB,1
205330100133227686,Keolis Sverige AB,1
205330100133227726,Keolis Sverige AB,1
205330100133438081,Keolis Sverige AB,1
205330100133438241,Keolis Sverige AB,1
205330100133438305,Keolis Sverige AB,1
205330100133438497,Keolis Sverige AB,1
205330100133227006,Keolis Sverige AB,1
205330100133227246,Keolis Sverige AB,1
205330100133438177,Keolis Sverige AB,1
205330100133438593,Keolis Sverige AB,1
205330100133438690,Keolis Sverige AB,1
205330100133438756,Keolis Sverige AB,1
205330100136074866,Keolis Sverige AB,1
205330100133227086,Keolis Sverige AB,1
205330100133227406,Keolis Sverige AB,1
205330100133227566,Keolis Sverige AB,1
205330100133438113,Keolis Sverige AB,1
205330100133438369,Keolis Sverige AB,1
205330100133438625,Keolis Sverige AB,1
205330100133438657,Keolis Sverige AB,1
205330100136074832,Keolis Sverige AB,1
205330000131767211,Keolis Sverige AB,1
205330000135419561,Keolis Sverige AB,1
205330000135419629,Keolis Sverige AB,1
205330000135419663,Keolis Sverige AB,1
205330000135419833,Keolis Sverige AB,1
205330000135420003,Keolis Sverige AB,1
205330000135420105,Keolis Sverige AB,1
205330000135420241,Keolis Sverige AB,1
205330000135420443,Keolis Sverige AB,1
205330000135420613,Keolis Sverige AB,1
